CompanyName,SalesPerson,Phone,PasswordHash,PasswordSalt,ModifiedDate
A Bike Store,adventure-works\pamela0,245-555-0173,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,1KjXYs4=,2005-08-01 00:00:00.000
Progressive Sports,adventure-works\david8,170-555-0127,YPdtRdvqeAhj6wyxEsFdshBDNXxkCXn+CRgbvJItknw=,fs1ZGhY=,2006-08-01 00:00:00.000
Advanced Bike Components,adventure-works\jillian0,279-555-0130,LNoK27abGQo48gGue3EBV/UrlYSToV0/s87dCRV7uJk=,YTNH5Rw=,2005-09-01 00:00:00.000
Modular Cycle Systems,adventure-works\jillian0,710-555-0173,ElzTpSNbUW1Ut+L5cWlfR7MF6nBZia8WpmGaQPjLOJA=,nm7D5e4=,2006-07-01 00:00:00.000
Metropolitan Sports Supply,adventure-works\shu0,828-555-0186,KJqV15wsX3PG8TS5GSddp6LFFVdd3CoRftZM/tP0+R4=,cNFKU4w=,2006-09-01 00:00:00.000
Aerobic Exercise Company,adventure-works\linda3,244-555-0112,OKT0scizCdIzymHHOtyJKQiC/fCILSooSZ8dQ2Y34VM=,ihWf50M=,2007-09-01 00:00:00.000
Associated Bikes,adventure-works\shu0,192-555-0173,ZccoP/jZGQm+Xpzc7RKwDhS11YFNybwcPVRYTSNcnSg=,sPoUBSQ=,2006-07-01 00:00:00.000
Rural Cycle Emporium,adventure-works\josé1,150-555-0127,Qa3aMCxNbVLGrc0b99KsbQqiVgwYDfHcsK9GZSUxcTM=,Ls05W3g=,2006-09-01 00:00:00.000
Sharp Bikes,adventure-works\josé1,926-555-0159,uRlorVzDGNJIX9I+ehTlRK+liT4UKRgWhApJgUMC2d4=,jpHKbqE=,2005-08-01 00:00:00.000
Bikes and Motorbikes,adventure-works\garrett1,112-555-0191,jtF9jBoFYeJTaET7x+eJDkd7BzMz15Wo9odbGPBaIak=,wVLnvHo=,2006-08-01 00:00:00.000
Bulk Discount Store,adventure-works\jae0,1 (11) 500 555-0132,sKt9daCzEEKWAzivEGPOp8tmaM1R3I+aJfcBjzJRFLo=,8KfYx/4=,2006-09-01 00:00:00.000
Catalog Store,adventure-works\michael9,440-555-0132,61zeTkO+eI5g8GG0swny8Wp/6GzZMFnT71fnW4lTHNY=,c7Ttvv0=,2005-08-01 00:00:00.000
Center Cycle Shop,adventure-works\pamela0,521-555-0195,DzbqWX7B3EK5Dub92CKHYSUGKGbZCbrcVDpVe/xyBeI=,zXNgrJw=,2007-04-01 00:00:00.000
Central Discount Store,adventure-works\david8,582-555-0113,o1GVo3vExeNzo0/ctdRGf2eDK3uzTlcUbr18tN+Slf8=,uMsvfdo=,2005-09-01 00:00:00.000
Chic Department Stores,adventure-works\jillian0,928-555-0116,IaD5AeqK9mRiIrJi/etZGVO6EiybLf/oksA2CqrpoJ0=,p6pOqKc=,2006-09-01 00:00:00.000
Travel Systems,adventure-works\jillian0,121-555-0121,23AwhujCoXYSPiN/B+G8Z9rk36xl35EbdLT7akTMTqU=,SmyIPjE=,2005-08-01 00:00:00.000
Bike World,adventure-works\shu0,216-555-0122,d0WSjosAd7Y3XOWjNAkoTClCb50vwPuAawOSI1iosgs=,33g5co8=,2006-09-01 00:00:00.000
Eastside Department Store,adventure-works\linda3,926-555-0164,ylTpkIOHKLcjihNjS0j/k10eOHOsWQMNhlbuOCp+UTY=,TgZnUOg=,2006-09-01 00:00:00.000
Coalition Bike Company,adventure-works\shu0,357-555-0161,pKYDelLBOZMO98GBzhMxBSzzE0gUYKx9dXzYTYNuBgw=,jKtOaOw=,2006-09-01 00:00:00.000
Commuter Bicycle Store,adventure-works\josé1,972-555-0163,wqhgKfOTfef4Zo3cb6FwsFzvG/yCVstuYh3AuwjRszQ=,SZ+r60o=,2007-08-01 00:00:00.000
Cross-Country Riding Supplies,adventure-works\josé1,344-555-0144,ftRWIIT4oF+if+ddn1ROYXHw6PAooKFX3uALZ0uEU98=,IRNPDIw=,2005-08-01 00:00:00.000
Cycle Merchants,adventure-works\garrett1,783-555-0110,FV6z03ywMJOumcU+TEoL/Z/s4YP2fe8B3MJUUTA0CHU=,mFRhaEg=,2006-09-01 00:00:00.000
Cycles Wholesaler & Mfg.,adventure-works\jae0,1 (11) 500 555-0181,2Pyd3S3Os61yt+lfSjMgSDNwT1LL4Qs51m1ob42We40=,Jvsxxrg=,2007-07-01 00:00:00.000
Two Bike Shops,adventure-works\pamela0,724-555-0161,cvqeC4fJcKwJ9jlluiWvK5/MyuSi8neLnjFDGdvzJy4=,ot8WcXk=,2006-09-01 00:00:00.000
Finer Mart,adventure-works\david8,867-555-0114,Q/nGAVzOO1ZT/4+BQ1kwltqQyzycLA2GGmDmBBxLMnM=,6IvcbVg=,2007-09-01 00:00:00.000
Fitness Hotel,adventure-works\jillian0,377-555-0132,Uo3kAuNh936QfPTIfPt6I6Z3+olLMRu5IC5awuzDaG8=,uHgb0IU=,2006-09-01 00:00:00.000
Journey Sporting Goods,adventure-works\jillian0,417-555-0182,kqptixZ7LqTuOKcc7ylpabWrgWr5BDXa2fpkDxEwaCY=,Xe7grug=,2005-08-01 00:00:00.000
Distant Inn,adventure-works\shu0,244-555-0127,92Sfw/bl0dUJO9SAfoKn452VJcstSo2lgAbSPk97nRA=,8soIcx8=,2006-07-01 00:00:00.000
Healthy Activity Store,adventure-works\linda3,911-555-0165,jLMkpmNutZFzWw7sSWZeqd91vtlRwaWx2Ub21mhsvlU=,JK9/WX8=,2006-07-01 00:00:00.000
Frugal Bike Shop,adventure-works\shu0,482-555-0174,BmJaM+147GrhU00kNTtaTolp0EJcarJK/SCfew4ZiYA=,YADhpPo=,2006-08-01 00:00:00.000
Gear-Shift Bikes Limited,adventure-works\josé1,653-555-0159,HyZexVTTLfKfhx/Sb+XHQb4vta2LC1FD3OYIkpmzMlQ=,/kc6RdY=,2006-12-01 00:00:00.000
Greater Bike Store,adventure-works\josé1,141-555-0172,RLemw98UkhyklI9z6Kx01t3fpE6z6E9v5GdRReTdOIY=,8n38uVg=,2005-09-01 00:00:00.000
Grand Industries,adventure-works\garrett1,164-555-0118,YYTwMHBzX9ZM2XoYAzTo7bVfsHm05BO3Sl1+sokcRjM=,Zb6O1a0=,2007-09-01 00:00:00.000
Instruments and Parts Company,adventure-works\jae0,1 (11) 500 555-0155,ox4SPBzzVPKyCVoIcZvkdVLtnQlKoDXCciBGcqVAfrI=,n7ydrrc=,2007-09-01 00:00:00.000
Kickstands and Accessories Company,adventure-works\pamela0,932-555-0163,katp5sn21ZqJq5Z26YRBk9XXP3iFjpsX7tNPYAAxZlI=,xw9RymE=,2007-09-01 00:00:00.000
Latest Accessories Sales,adventure-works\david8,461-555-0118,tbk7TwAC5jsqEhFRRIhnL9kPBoTy3XS+EjlReKVp5mw=,hpOsvJU=,2006-08-01 00:00:00.000
Leading Sales & Repair,adventure-works\jillian0,260-555-0130,VzG/BDjkh2mMWAn2eZ/FQDI5/pGurtzdCfxTaCf6zAs=,N5Ajt+s=,2005-09-01 00:00:00.000
Largest Bike Store,adventure-works\jillian0,436-555-0160,el1s9e+hWeb+79bwrhU+hxHEyJN+j6tR8vWyKJDZmTs=,QgzjTPU=,2005-11-01 00:00:00.000
Locks Company,adventure-works\shu0,385-555-0140,J9nhrWh6kpc/dGBkN7HRxrrbquy1Rit9UMPv9rbYjBs=,KiAAI5M=,2007-09-01 00:00:00.000
Main Bicycle Services,adventure-works\linda3,183-555-0111,NCIEHFdWOrgXFDd6SE817buY5XNWSBCQZlOsgOGIP2E=,eK6Wzw0=,2007-09-01 00:00:00.000
Many Bikes Store,adventure-works\shu0,452-555-0179,zn3Nk0+i/zyvxFNh3OziN2Pxa3NfiIlVMJ9Ox86ytao=,5MZXwF4=,2006-09-01 00:00:00.000
Metal Clearing House,adventure-works\josé1,290-555-0196,6p4SZnWdWPrBclHkaWFeooblNWE+Y4VJiuTM9hyonDI=,HaDRSbY=,2007-08-01 00:00:00.000
Metro Manufacturing,adventure-works\josé1,737-555-0163,gCWE10xc3haq9E82Ksvg2GS6WBBD0H0ZF25YAS0CfJ8=,qxbTTkE=,2006-08-01 00:00:00.000
Neighborhood Store,adventure-works\garrett1,394-555-0176,QC+He1HXF5uNbU5XqduVyZW0SlvdnAE2jhuD/06ukjE=,Uifpoxw=,2006-08-01 00:00:00.000
Outdoor Aerobic Systems Company,adventure-works\jae0,1 (11) 500 555-0122,0d3F0pfNxXFKEufM738j3/fA0at2eUlZA8ibqRnMr7M=,6fOTb8g=,2007-08-01 00:00:00.000
Outdoor Sports Supply,adventure-works\pamela0,107-555-0132,dI+A6Ikk6Eh9ypKYxrAEHGdSxjzUhy8bEyDdFjggW9g=,09k9Tis=,2005-08-01 00:00:00.000
Parcel Express Delivery Service,adventure-works\david8,162-555-0166,jIw8zSChmDX3xmVInKUV46U77LBgW9C5vlIMvK4NqF8=,J9DNyhU=,2005-11-01 00:00:00.000
Paint Supply,adventure-works\jillian0,358-555-0188,6lcVqEc4gGgfW6DsOks/KuDIWIP5qFsrc8sXtmcwj6E=,DKu7/UM=,2005-09-01 00:00:00.000
Out-of-the-Way Hotels,adventure-works\jillian0,265-555-0190,I2HiduC1LR4LnxkLk1SFZ0OCyPveKfbQ6Q4mjKnPiyA=,PJEpZaA=,2005-09-01 00:00:00.000
Mechanical Products Ltd.,adventure-works\shu0,128-555-0148,Ioh5Ss2cXrUAI8DZcSkQ/z92aEmHE0Wxqc6MdggjJQE=,MjQeaAE=,2006-08-01 00:00:00.000
Preferred Bikes,adventure-works\linda3,819-555-0186,9rOycZRxDntXWB8Y/285x4HS6G2ATNOzhqIhF+oBGqc=,BsI2IB4=,2005-08-01 00:00:00.000
Reasonable Bicycle Sales,adventure-works\shu0,996-555-0192,Re4KikAJLZeLX+pM2Bw7HZNkd5Yyd/vrGB7WhjbYmCo=,lGI5cA0=,2006-08-01 00:00:00.000
Refined Department Stores,adventure-works\josé1,814-555-0130,8x6bpv0tFDausfY5Z8RQwPKRz3E+N1BszPMzVAsq5kg=,5NcSbeg=,2006-07-01 00:00:00.000
Requisite Part Supply,adventure-works\josé1,644-555-0114,pd7lPYE+Gn7QnX4l6aMxG6WiRZGpPVsBcJ1kBpXl7pc=,MAOhXKA=,2005-07-01 00:00:00.000
Rewarding Activities Company,adventure-works\garrett1,752-555-0185,oR9ACW0ZX4v6zBa57CfhePKM1qmHjgDwNdGaTDAp4io=,966Lz4w=,2005-08-01 00:00:00.000
Closest Bicycle Store,adventure-works\jae0,1 (11) 500 555-0173,3nXek8BFNaBhIi8CwSzQOVdo1ZthphI3kGbZTrt6jNM=,/rh9tFs=,2007-09-01 00:00:00.000
